Seq_ID	EpiCluster
SNY11971-19	Siga_-_Type_1_(2019)
SNY10731-19	Siga_-_Type_1_(2019)
SNY10761-19	Siga_-_Type_1_(2019)
SNY11171-19	Siga_-_Type_1_(2019)
SNY11271-19	Siga_-_Type_1_(2019)
SNY11461-19	Siga_-_Type_1_(2019)
SNY11531-19	Siga_-_Type_1_(2019)
SNY11541-19	Siga_-_Type_1_(2019)
SNY11571-19	Siga_-_Type_1_(2019)
SNY11631-19	Siga_-_Type_1_(2019)
SNY11901-19	Siga_-_Type_1_(2019)
SNY12241-19	Siga_-_Type_1_(2019)
SNY12901-19	Siga_-_Type_17_(2019)
SNY13461-19	Siga_-_Type_17_(2019)
CWI10131-19	Siga_-_Type_17_(2019)
SMN10131-19	Siga_-_Type_17_(2019)
SNY11551-19	Siga_-_Type_17_(2019)
SNY11641-19	Siga_-_Type_17_(2019)
SNY12121-19	Siga_-_Type_17_(2019)
SNY12221-19	Siga_-_Type_17_(2019)
SNY12301-19	Siga_-_Type_17_(2019)
SMN10101-19	Siga_-_Type_17_(2019)
SMN10251-19	Siga_-_Type_17_(2019)
SMN10211-19	Siga_-_Type_17_(2019)
SNY10861-19	Siga_-_Type_17_(2019)
SNY10921-19	Siga_-_Type_17_(2019)
SNY10931-19	Siga_-_Type_17_(2019)
CFL10051-19	Siga_-_Type_17_(2019)
CFL10061-19	Siga_-_Type_17_(2019)
SNY11301-19	Siga_-_Type_17_(2019)
SNY12281-19	Siga_-_Type_17_(2019)
CFL10011-19	Siga_-_Type_17_(2019)
CFL10021-19	Siga_-_Type_17_(2019)
CFL10091-19	Siga_-_Type_17_(2019)
CFL10101-19	Siga_-_Type_17_(2019)
CGA10101-19	Siga_-_Type_17_(2019)
SMN10071-19	Siga_-_Type_17_(2019)
SNY11311-19	Siga_-_Type_17_(2019)
SNY11711-19	Siga_-_Type_17_(2019)
SNY13351-19	Siga_-_Type_17_(2019)
SNY11441-19	Siga_-_Type_17_(2019)
SNY11511-19	Siga_-_Type_17_(2019)
SNY12291-19	Siga_-_Type_17_(2019)
SNY12321-19	Siga_-_Type_17_(2019)
SNY13171-19	Siga_-_Type_17_(2019)
SNY13481-19	Siga_-_Type_17_(2019)
SNY13521-19	Siga_-_Type_17_(2019)
SNY13741-19	Siga_-_Type_17_(2019)
SNY13761-19	Siga_-_Type_17_(2019)
SNY13841-19	Siga_-_Type_17_(2019)
SNY10881-19	Siga_-_Type_17_(2019)
CFL10111-19	Siga_-_Type_17_(2019)
CFL10121-19	Siga_-_Type_17_(2019)
CFL10131-19	Siga_-_Type_17_(2019)
CFL10141-19	Siga_-_Type_17_(2019)
SMN10121-19	Siga_-_Type_18_(2019)
SMN10221-19	Siga_-_Type_18_(2019)
CWI10141-19	Siga_-_Type_18_(2019)
SNY11181-19	Siga_-_Type_18_(2019)
COH10041-19	Siga_-_Type_18_(2019)
COH10061-19	Siga_-_Type_18_(2019)
COH10151-19	Siga_-_Type_18_(2019)
CFL10071-19	Siga_-_Type_18_(2019)
SNY11881-19	Siga_-_Type_18_(2019)
SNY13181-19	Siga_-_Type_18_(2019)
CNJ10081-19	Siga_-_Type_18_(2019)
SNY12141-19	Siga_-_Type_18_(2019)
SNY12491-19	Siga_-_Type_18_(2019)
CMI10011-19	Siga_-_Type_3_(2019)
CMI10021-19	Siga_-_Type_3_(2019)
CMI10031-19	Siga_-_Type_3_(2019)
CMI10041-19	Siga_-_Type_3_(2019)
CMI10051-19	Siga_-_Type_3_(2019)
CMI10061-19	Siga_-_Type_3_(2019)
CMI10071-19	Siga_-_Type_3_(2019)
CMI10081-19	Siga_-_Type_3_(2019)
CMI10091-19	Siga_-_Type_3_(2019)
CMI10111-19	Siga_-_Type_3_(2019)
CMI10121-19	Siga_-_Type_3_(2019)
CMI10141-19	Siga_-_Type_3_(2019)
CMI10341-19	Siga_-_Type_3_(2019)
CMI10351-19	Siga_-_Type_3_(2019)
CMI10361-19	Siga_-_Type_3_(2019)
CMI10391-19	Siga_-_Type_3_(2019)
CMI10531-19	Siga_-_Type_3_(2019)
CMN10741-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10882-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10011-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10051-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10111-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10151-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10171-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10231-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10242-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10261-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10391-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10401-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10421-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10431-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10491-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10501-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10511-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10521-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10531-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10541-20	Pre-packaged_salad_mix_2020_001_(2020)
