Seq_ID	EpiCluster
CIA10571-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10591-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10601-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10611-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10621-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10641-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10671-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10691-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10701-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10711-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10722-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10741-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10891-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10011-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10021-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10041-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10061-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10071-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10091-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10101-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10172-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10241-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10281-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10301-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10401-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10431-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10441-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10481-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10511-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10621-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10631-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10651-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10661-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10711-20	Pre-packaged_salad_mix_2020_001_(2020)
CKS10011-20	Pre-packaged_salad_mix_2020_001_(2020)
CKS10021-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10061-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10071-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10091-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10111-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10151-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10161-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10191-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10201-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10221-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10231-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10241-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10251-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10261-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10281-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10301-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10361-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10371-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10401-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10411-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10421-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10431-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10481-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10551-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10561-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10611-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10641-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10671-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10721-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10751-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10761-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10891-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10041-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10061-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10081-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10091-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10101-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10151-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10161-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10171-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10181-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10201-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10281-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10291-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10401-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10441-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10471-20	Pre-packaged_salad_mix_2020_001_(2020)
CWI10022-20	Pre-packaged_salad_mix_2020_001_(2020)
CWI10032-20	Pre-packaged_salad_mix_2020_001_(2020)
CWI10081-20	Pre-packaged_salad_mix_2020_001_(2020)
CWI10131-20	Pre-packaged_salad_mix_2020_001_(2020)
CWI10161-20	Pre-packaged_salad_mix_2020_001_(2020)
CWI10171-20	Pre-packaged_salad_mix_2020_001_(2020)
CWI10221-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10411-20	Pre-packaged_salad_mix_2020_001_(2020)
CIA10781-20	Pre-packaged_salad_mix_2020_001_(2020)
CIL10322-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10771-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10131-20	Pre-packaged_salad_mix_2020_001_(2020)
CNE10261-20	Pre-packaged_salad_mix_2020_001_(2020)
CWI10071-20	Pre-packaged_salad_mix_2020_001_(2020)
CMN10591-20	Pre-packaged_salad_mix_2020_003_(2020)
CNE10481-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10062-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10071-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10131-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10161-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10191-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10201-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10212-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10271-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10281-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10291-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10311-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10321-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10361-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10371-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10451-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10471-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10561-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10581-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10651-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10661-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10681-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10751-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10791-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10802-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10821-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10851-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10881-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA10921-20	Pre-packaged_salad_mix_2020_003_(2020)
CIL10081-20	Pre-packaged_salad_mix_2020_003_(2020)
CIL10131-20	Pre-packaged_salad_mix_2020_003_(2020)
CIL10151-20	Pre-packaged_salad_mix_2020_003_(2020)
CIL10161-20	Pre-packaged_salad_mix_2020_003_(2020)
CIL10181-20	Pre-packaged_salad_mix_2020_003_(2020)
CIL10191-20	Pre-packaged_salad_mix_2020_003_(2020)
CIL10291-20	Pre-packaged_salad_mix_2020_003_(2020)
CIL10381-20	Pre-packaged_salad_mix_2020_003_(2020)
CIL10591-20	Pre-packaged_salad_mix_2020_003_(2020)
CIL10611-20	Pre-packaged_salad_mix_2020_003_(2020)
CIL10771-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10031-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10041-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10082-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10211-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10271-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10341-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10441-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10451-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10461-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10471-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10491-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10511-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10651-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN10691-20	Pre-packaged_salad_mix_2020_003_(2020)
CMN11121-20	Pre-packaged_salad_mix_2020_003_(2020)
CNE10051-20	Pre-packaged_salad_mix_2020_003_(2020)
CNE10071-20	Pre-packaged_salad_mix_2020_003_(2020)
CNE10111-20	Pre-packaged_salad_mix_2020_003_(2020)
CNE10191-20	Pre-packaged_salad_mix_2020_003_(2020)
CNE10211-20	Pre-packaged_salad_mix_2020_003_(2020)
CNE10271-20	Pre-packaged_salad_mix_2020_003_(2020)
CNE10311-20	Pre-packaged_salad_mix_2020_003_(2020)
CNE10321-20	Pre-packaged_salad_mix_2020_003_(2020)
CNE10342-20	Pre-packaged_salad_mix_2020_003_(2020)
CNE10361-20	Pre-packaged_salad_mix_2020_003_(2020)
CNE10431-20	Pre-packaged_salad_mix_2020_003_(2020)
CWI10042-20	Pre-packaged_salad_mix_2020_003_(2020)
CWI10061-20	Pre-packaged_salad_mix_2020_003_(2020)
CWI10091-20	Pre-packaged_salad_mix_2020_003_(2020)
CWI10111-20	Pre-packaged_salad_mix_2020_003_(2020)
CWI10121-20	Pre-packaged_salad_mix_2020_003_(2020)
CWI10151-20	Pre-packaged_salad_mix_2020_003_(2020)
CWI10181-20	Pre-packaged_salad_mix_2020_003_(2020)
CWI10191-20	Pre-packaged_salad_mix_2020_003_(2020)
CIA11031-20	Prepackaged_salad_002_(2020)
CKS10031-20	Prepackaged_salad_002_(2020)
CKS10071-20	Prepackaged_salad_002_(2020)
CKS10081-20	Prepackaged_salad_002_(2020)
CNE10621-20	Prepackaged_salad_002_(2020)
CNE10691-20	Prepackaged_salad_002_(2020)
CNE10751-20	Prepackaged_salad_002_(2020)
CIA10051-19	Chilitos_-_Guacamole_(2019)
CIA10101-19	Chilitos_-_Guacamole_(2019)
CIA10111-19	Chilitos_-_Guacamole_(2019)
CIA10121-19	Chilitos_-_Guacamole_(2019)
CIA10131-19	Chilitos_-_Guacamole_(2019)
CIA10161-19	Chilitos_-_Guacamole_(2019)
CIA10171-19	Chilitos_-_Guacamole_(2019)
CIA10181-19	Chilitos_-_Guacamole_(2019)
CIA10221-19	Chilitos_-_Guacamole_(2019)
CIA10241-19	Chilitos_-_Guacamole_(2019)
CIA10251-19	Chilitos_-_Guacamole_(2019)
CIA10281-19	Chilitos_-_Guacamole_(2019)
CIA10291-19	Chilitos_-_Guacamole_(2019)
CMA10331-19	Bertuccis_(2019)
CMA10471-19	Bertuccis_(2019)
CMA10051-19	Bertuccis_(2019)
CMA10481-19	Bertuccis_(2019)
CMA10731-19	Bertuccis_(2019)
CMA10781-19	Bertuccis_(2019)
CMA10791-19	Bertuccis_(2019)
CMA10891-19	Bertuccis_(2019)
CMA10911-19	Bertuccis_(2019)
CMA10921-19	Bertuccis_(2019)
CRI10011-19	Bertuccis_(2019)
CRI10021-19	Bertuccis_(2019)
CRI10031-19	Bertuccis_(2019)
SNY10641-19	LamaLo_(2019)
SNY11011-19	LamaLo_(2019)
SNY11071-19	LamaLo_(2019)
SNY11081-19	LamaLo_(2019)
SNY11241-19	LamaLo_(2019)
SNY11251-19	LamaLo_(2019)
S-MN016-18	Restaurant_C_(Basil)_Associated_Cluster_(2018)
S-MN018-18	Restaurant_C_(Basil)_Associated_Cluster_(2018)
CMA10502-19	Christophers_(2019)
CMA10021-19	Christophers_(2019)
CMA10081-19	Christophers_(2019)
CMA10101-19	Christophers_(2019)
CMA10121-19	Christophers_(2019)
CMA10141-19	Christophers_(2019)
CMA10151-19	Christophers_(2019)
CMA10161-19	Christophers_(2019)
CMA10171-19	Christophers_(2019)
CMA10181-19	Christophers_(2019)
CMA10301-19	Christophers_(2019)
CMA10591-19	Christophers_(2019)
CMA10661-19	Christophers_(2019)
SNY11231-20	Salad_Chain_A_-_2020_025_(2020)
SNY11301-20	Salad_Chain_A_-_2020_025_(2020)
SNY11421-20	Salad_Chain_A_-_2020_025_(2020)
SNY11431-20	Salad_Chain_A_-_2020_025_(2020)
S-MN005-18	Supplier_X_-_MN_Restaurant_1_(Cilantro)_Associated_Cluster_(2018)
S-MN006-18	Supplier_X_-_MN_Restaurant_1_(Cilantro)_Associated_Cluster_(2018)
S-MN012-18	Supplier_X_-_MN_Restaurant_1_(Cilantro)_Associated_Cluster_(2018)
S-MN008-18	Supplier_X_-_MN_Restaurant_2_(Cilantro)_Associated_Cluster_(2018)
S-MN010-18	Supplier_X_-_MN_Restaurant_2_(Cilantro)_Associated_Cluster_(2018)
S-MN017-18	Supplier_X_-_MN_Restaurant_2_(Cilantro)_Associated_Cluster_(2018)
S-TX017-18	Temporospatial_Cluster_A_-_TX_Air_Force_Base_(2018)
S-TX018-18	Temporospatial_Cluster_A_-_TX_Air_Force_Base_(2018)
S-TX020-18	Temporospatial_Cluster_A_-_TX_Air_Force_Base_(2018)
S-TX022-18	Temporospatial_Cluster_A_-_TX_Air_Force_Base_(2018)
S-TX023-18	Temporospatial_Cluster_A_-_TX_Air_Force_Base_(2018)
S-TX024-18	Temporospatial_Cluster_A_-_TX_Air_Force_Base_(2018)
S-TX028-18	Temporospatial_Cluster_A_-_TX_Air_Force_Base_(2018)
S-TX029-18	Temporospatial_Cluster_A_-_TX_Air_Force_Base_(2018)
CVA10031-20	TN/GA/VA_Mexican-style_restaurant_/_cilantro_sub-cluster_(2020)
CVA10041-20	TN/GA/VA_Mexican-style_restaurant_/_cilantro_sub-cluster_(2020)
CGA10071-20	TN/GA/VA_Mexican-style_restaurant_/_cilantro_sub-cluster_(2020)
CGA10141-20	TN/GA/VA_Mexican-style_restaurant_/_cilantro_sub-cluster_(2020)
CTN10031-20	TN/GA/VA_Mexican-style_restaurant_/_cilantro_sub-cluster_(2020)
CTN10051-20	TN/GA/VA_Mexican-style_restaurant_/_cilantro_sub-cluster_(2020)
CTN10061-20	TN/GA/VA_Mexican-style_restaurant_/_cilantro_sub-cluster_(2020)
CTN10071-20	TN/GA/VA_Mexican-style_restaurant_/_cilantro_sub-cluster_(2020)
CTN10101-20	TN/GA/VA_Mexican-style_restaurant_/_cilantro_sub-cluster_(2020)
CTN10111-20	TN/GA/VA_Mexican-style_restaurant_/_cilantro_sub-cluster_(2020)
C-IL044-18	McDonalds_Fresh_Express_(2018)
C-IL081-18	McDonalds_Fresh_Express_(2018)
C-IA039-18	McDonalds_Fresh_Express_(2018)
C-IA040-18	McDonalds_Fresh_Express_(2018)
C-IA048-18	McDonalds_Fresh_Express_(2018)
C-IA052-18	McDonalds_Fresh_Express_(2018)
C-IA058-18	McDonalds_Fresh_Express_(2018)
C-IA062-18	McDonalds_Fresh_Express_(2018)
C-IA064-18	McDonalds_Fresh_Express_(2018)
C-IA068-18	McDonalds_Fresh_Express_(2018)
C-IA069-18	McDonalds_Fresh_Express_(2018)
C-IA075-18	McDonalds_Fresh_Express_(2018)
C-IA076-18	McDonalds_Fresh_Express_(2018)
C-IA077-18	McDonalds_Fresh_Express_(2018)
C-IA078-18	McDonalds_Fresh_Express_(2018)
C-IA082-18	McDonalds_Fresh_Express_(2018)
C-IA083-18	McDonalds_Fresh_Express_(2018)
C-IA087-18	McDonalds_Fresh_Express_(2018)
C-IA091-18	McDonalds_Fresh_Express_(2018)
C-IA092-18	McDonalds_Fresh_Express_(2018)
C-IA093-18	McDonalds_Fresh_Express_(2018)
C-IA094-18	McDonalds_Fresh_Express_(2018)
C-IA102-18	McDonalds_Fresh_Express_(2018)
C-IA104-18	McDonalds_Fresh_Express_(2018)
C-IA107-18	McDonalds_Fresh_Express_(2018)
C-IA110-18	McDonalds_Fresh_Express_(2018)
C-IA111-18	McDonalds_Fresh_Express_(2018)
C-IL013-18	McDonalds_Fresh_Express_(2018)
C-IL018-18	McDonalds_Fresh_Express_(2018)
C-IL019-18	McDonalds_Fresh_Express_(2018)
C-IL020-18	McDonalds_Fresh_Express_(2018)
C-IL022-18	McDonalds_Fresh_Express_(2018)
C-IL023-18	McDonalds_Fresh_Express_(2018)
C-IL024-18	McDonalds_Fresh_Express_(2018)
C-IL025-18	McDonalds_Fresh_Express_(2018)
C-IL031-18	McDonalds_Fresh_Express_(2018)
C-IL032-18	McDonalds_Fresh_Express_(2018)
C-IL033-18	McDonalds_Fresh_Express_(2018)
C-IL034-18	McDonalds_Fresh_Express_(2018)
C-IL036-18	McDonalds_Fresh_Express_(2018)
C-IL037-18	McDonalds_Fresh_Express_(2018)
C-IL039-18	McDonalds_Fresh_Express_(2018)
C-IL040-18	McDonalds_Fresh_Express_(2018)
C-IL042-18	McDonalds_Fresh_Express_(2018)
C-IL046-18	McDonalds_Fresh_Express_(2018)
C-IL047-18	McDonalds_Fresh_Express_(2018)
C-IL048-18	McDonalds_Fresh_Express_(2018)
C-IL049-18	McDonalds_Fresh_Express_(2018)
C-IL050-18	McDonalds_Fresh_Express_(2018)
C-IL054-18	McDonalds_Fresh_Express_(2018)
C-IL055-18	McDonalds_Fresh_Express_(2018)
C-IL056-18	McDonalds_Fresh_Express_(2018)
C-IL058-18	McDonalds_Fresh_Express_(2018)
C-IL060-18	McDonalds_Fresh_Express_(2018)
C-IL062-18	McDonalds_Fresh_Express_(2018)
C-IL065-18	McDonalds_Fresh_Express_(2018)
C-IL066-18	McDonalds_Fresh_Express_(2018)
C-IL067-18	McDonalds_Fresh_Express_(2018)
C-IL068-18	McDonalds_Fresh_Express_(2018)
C-IL071-18	McDonalds_Fresh_Express_(2018)
C-IL072-18	McDonalds_Fresh_Express_(2018)
C-IL076-18	McDonalds_Fresh_Express_(2018)
C-IL077-18	McDonalds_Fresh_Express_(2018)
C-IL079-18	McDonalds_Fresh_Express_(2018)
C-IL080-18	McDonalds_Fresh_Express_(2018)
C-IL086-18	McDonalds_Fresh_Express_(2018)
C-IL087-18	McDonalds_Fresh_Express_(2018)
C-IL099-18	McDonalds_Fresh_Express_(2018)
C-IL119-18	McDonalds_Fresh_Express_(2018)
C-IL126-18	McDonalds_Fresh_Express_(2018)
C-MO003-18	McDonalds_Fresh_Express_(2018)
C-OH003-18	McDonalds_Fresh_Express_(2018)
C-OH014-18	McDonalds_Fresh_Express_(2018)
C-WI187-18	McDonalds_Fresh_Express_(2018)
C-WI194-18	McDonalds_Fresh_Express_(2018)
C-WI197-18	McDonalds_Fresh_Express_(2018)
C-WI198-18	McDonalds_Fresh_Express_(2018)
C-WI208-18	McDonalds_Fresh_Express_(2018)
S-MN020-18	McDonalds_Fresh_Express_(2018)
S-MN023-18	McDonalds_Fresh_Express_(2018)
C-WI139-18	Kwik_Trip_(2018)
C-WI202-18	Kwik_Trip_(2018)
S-MN013-18	Kwik_Trip_(2018)
C-IA029-18	Kwik_Trip_(2018)
C-WI209-18	Kwik_Trip_(2018)
C-IA018-18	Kwik_Trip_(2018)
C-IA059-18	Kwik_Trip_(2018)
C-WI011-18	Kwik_Trip_(2018)
C-WI020-18	Kwik_Trip_(2018)
C-WI026-18	Kwik_Trip_(2018)
C-WI031-18	Kwik_Trip_(2018)
C-WI033-18	Kwik_Trip_(2018)
C-WI038-18	Kwik_Trip_(2018)
C-WI039-18	Kwik_Trip_(2018)
C-WI040-18	Kwik_Trip_(2018)
C-WI092-18	Kwik_Trip_(2018)
C-WI093-18	Kwik_Trip_(2018)
C-WI094-18	Kwik_Trip_(2018)
C-WI095-18	Kwik_Trip_(2018)
C-WI096-18	Kwik_Trip_(2018)
C-WI097-18	Kwik_Trip_(2018)
C-WI098-18	Kwik_Trip_(2018)
C-WI099-18	Kwik_Trip_(2018)
C-WI100-18	Kwik_Trip_(2018)
C-WI101-18	Kwik_Trip_(2018)
C-WI102-18	Kwik_Trip_(2018)
C-WI103-18	Kwik_Trip_(2018)
C-WI107-18	Kwik_Trip_(2018)
C-WI109-18	Kwik_Trip_(2018)
C-WI114-18	Kwik_Trip_(2018)
C-WI118-18	Kwik_Trip_(2018)
C-WI121-18	Kwik_Trip_(2018)
C-WI122-18	Kwik_Trip_(2018)
C-WI125-18	Kwik_Trip_(2018)
C-WI128-18	Kwik_Trip_(2018)
C-WI129-18	Kwik_Trip_(2018)
C-WI131-18	Kwik_Trip_(2018)
C-WI133-18	Kwik_Trip_(2018)
C-WI135-18	Kwik_Trip_(2018)
C-WI138-18	Kwik_Trip_(2018)
C-WI150-18	Kwik_Trip_(2018)
C-WI159-18	Kwik_Trip_(2018)
C-WI172-18	Kwik_Trip_(2018)
C-WI173-18	Kwik_Trip_(2018)
C-WI176-18	Kwik_Trip_(2018)
C-WI177-18	Kwik_Trip_(2018)
C-WI178-18	Kwik_Trip_(2018)
S-MN002-18	Kwik_Trip_(2018)
S-MN003-18	Kwik_Trip_(2018)
S-MN015-18	Kwik_Trip_(2018)
S-MN024-18	Kwik_Trip_(2018)
S-MN026-18	Kwik_Trip_(2018)
C-WI130-18	Kwik_Trip_(2018)
C-WI145-18	Kwik_Trip_(2018)
CFL10121-21	Lettuce_2_(2021_003)
