Sample_name	Checksum_(SHA-512)	File
test_SRR	949e5e13c34b79f6055ba7a36dcf520897570b85cc1eda9a9a73711ed5fc73c287bfaf46ac24091ae24857b6f9c53dd1eb13eceef7b8d9243f5ff4c84d3b740d	test_SRR_R1.paired.fq.gz
test_SRR	8a041b09ee8dcb67260214fdac188a74d31fad2077479b66562627b0ada28ef73969ba2a0d48e18aef67d9a9cce499562948f31e02c1514c5e34eb423fc56362	test_SRR_R2.paired.fq.gz
test_SRR	35ab06e7e033fccfff80a0589076c58fcec4b4d5c879552214a9882b12bd57c55c3db1c580e3a265a84bf3e415867708a68da721927e1da0f4f416406c498a01	test_SRR_single.fq.gz
