name,taxid,general_classification,alternative_names,pathogenic_sites,commensal_sites,status,high_consequence,pathology,host_organism,reference,Additional references
Fusarium solani,169388,opportunistic,,"cornea, blood",,established,FALSE,,human,"Yera, H., et al. ""Mycetoma of the foot caused by Fusarium solani: identification of the etiologic agent by DNA sequencing.""�Journal of clinical microbiology�41.4 (2003): 1805-1808.",
Mycoplasmopsis arginini,2094,potential,,blood,,established,FALSE,,human,"Yechouron, Ariane, et al. ""Fatal septicemia due to Mycoplasma arginini: a new human zoonosis.""Clinical infectious diseases15.3 (1992): 434-438.",
Xenophilus aerolatus,452922,potential,,blood,,putative,FALSE,,human,"Yau, Yvonne CW, and Elizabeth A. Harvey. ""Xenophilus aerolatus Peritonitis in a Six-Year-Old Boy on Maintenance Peritoneal Dialysis.""Advances in Peritoneal Dialysis27 (2011).",
Williamsia serinedens,391736,opportunistic,,blood,,putative,FALSE,,human,"Yassin, Atteyet F., et al. ""Perinatal sepsis caused by Williamsia serinedens infection in a 31-year-old pregnant woman.""Journal of clinical microbiology48.7 (2010): 2626-2629.",
Corynebacterium aurimucosum,169292,commensal,,urine,skin,established,FALSE,,human,"Yassin, A. F., U. Steiner, and W. Ludwig. ""Corynebacterium aurimucosum sp. nov. and emended description of Corynebacterium minutissimum Collins and Jones (1983).""International journal of systematic and evolutionary microbiology52.3 (2002): 1001-1005.",
Corynebacterium appendicis,163202,commensal,,,,putative,FALSE,,human,"Yassin, A. F., U. Steiner, and W. Ludwig. ""Corynebacterium appendicis sp. nov.""International journal of systematic and evolutionary microbiology52.4 (2002): 1165-1169.",
Dietzia cinnamea,321318,opportunistic,,blood,,putative,FALSE,,human,"Yassin, A. F., H. Hupfer, and K. P. Schaal. ""Dietzia cinnamea sp. nov., a novel species isolated from a perianal swab of a patient with a bone marrow transplant.""International Journal of Systematic and Evolutionary Microbiology56.3 (2006): 641-645.",
Nocardia ignorata,145285,primary,,resp,,established,FALSE,,human,"Yassin, A. F., F. A. Rainey, and U. Steiner. ""Nocardia ignorata sp. nov.""International journal of systematic and evolutionary microbiology51.6 (2001): 2127-2131.",
Nocardia cyriacigeorgica,135487,opportunistic,,lung,,established,FALSE,,human,"Yassin, A. F., F. A. Rainey, and U. Steiner. ""Nocardia cyriacigeorgici sp. nov..""International journal of systematic and evolutionary microbiology51.4 (2001): 1419-1423.",
Nocardia puris,208602,potential,,abscess,,established,FALSE,,human,"Yassin, A. F., et al. ""Nocardia puris sp. nov.""International journal of systematic and evolutionary microbiology53.5 (2003): 1595-1599.",
Nocardia paucivorans NBRC 100373,1206734,primary,,"abscess, resp",,established,FALSE,,human,"Yassin, A. F., et al. ""Nocardia paucivorans sp. nov.""International journal of systematic and evolutionary microbiology50.2 (2000): 803-809.",
Nocardia abscessus,120957,primary,,abscess,,established,FALSE,,human,"Yassin, A. F., et al. ""Nocardia abscessus sp. nov.""International journal of systematic and evolutionary microbiology50.4 (2000): 1487-1493.",
Actinotignum urinale,190146,potential,,urine,,putative,FALSE,,human,"Yassin, A. F., et al. ""Dissection of the genus Actinobaculum: reclassification of Actinobaculum schaalii Lawson et al. 1997 and Actinobaculum urinale Hall et al. 2003 as Actinotignum schaalii gen. nov., comb. nov. and Actinotignum urinale comb. nov., description of Actinotignum sanguinis sp. nov. and emended descriptions of the genus Actinobaculum and Actinobaculum suis; and re-examination of the culture deposited as Actinobaculum massiliense CCUG 47753T (= DSM 19118T), revealing that it does not represent a strain of this ....""International journal of systematic and evolutionary microbiology65.Pt_2 (2015): 615-624.",
Desmospora activa DSM 45169,1121389,potential,,sputum,,putative,FALSE,,human,"Yassin, A. F., et al. ""Desmospora activa gen. nov., sp. nov., a thermoactinomycete isolated from sputum of a patient with suspected pulmonary tuberculosis, and emended description of the family Thermoactinomycetaceae Matsuo et al. 2006.""International journal of systematic and evolutionary microbiology59.3 (2009): 454-459.",
Cruoricaptor ignavus,1118202,potential,,blood,,putative,FALSE,,human,"Yassin, A. F., et al. ""Cruoricaptor ignavus gen. nov., sp. nov., a novel bacterium of the family Flavobacteriaceae isolated from blood culture of a man with bacteraemia.""Systematic and applied microbiology35.7 (2012): 421-426.",
Chryseobacterium sp.,1871047,potential,,blood,,putative,FALSE,,human,"Yassin, A. F., et al. ""Chryseobacterium treverense sp. nov., isolated from a human clinical source.""International journal of systematic and evolutionary microbiology60.9 (2010): 1993-1998.",
Auritidibacter ignavus,678932,potential,,ear,,putative,FALSE,,human,"Yassin, A. F., et al. ""Auritidibacter ignavus gen. nov., sp. nov., of the family Micrococcaceae isolated from an ear swab of a man with otitis externa, transfer of the members of the family Yaniellaceae Li et al. 2008 to the family Micrococcaceae and emended description of the suborder Micrococcineae."" International journal of systematic and evolutionary microbiology 61.2 (2011): 223-230.",
Actinomadura soli,2508997,potential,,sputum,,putative,FALSE,,human,"Yassin, A. F., et al. ""Actinomadura sputi sp. nov., isolated from the sputum of a patient with pulmonary infection.""International journal of systematic and evolutionary microbiology60.1 (2010): 149-153.",
Nocardia elegans,300029,potential,,resp,,established,FALSE,,human,"Yassin, A. F., and S. Brenner. ""Nocardia elegans sp. nov., a member of the Nocardia vaccinii clade isolated from sputum.""International journal of systematic and evolutionary microbiology55.4 (2005): 1505-1509.",
Williamsia deligens,321325,opportunistic,,blood,,putative,FALSE,,human,"Yassin, A. F., and H. Hupfer. ""Williamsia deligens sp. nov., isolated from human blood.""International journal of systematic and evolutionary microbiology56.1 (2006): 193-197.",
Corynebacterium sputi DSM 45148,1111729,commensal,,,,putative,FALSE,,human,"Yassin, A. F., and C. Siering. ""Corynebacterium sputi sp. nov., isolated from the sputum of a patient with pneumonia.""International journal of systematic and evolutionary microbiology58.12 (2008): 2876-2879.",
Saccharopolyspora rosea,524884,potential,,resp,,putative,FALSE,,human,"Yassin, A. F. ""Saccharopolyspora rosea sp. nov., isolated from a patient with bronchial carcinoma.""International journal of systematic and evolutionary microbiology59.5 (2009): 1148-1152.",
Corynebacterium ureicelerivorans,401472,commensal,,,,putative,FALSE,,human,"Yassin, A. F. ""Corynebacterium ureicelerivorans sp. nov., a lipophilic bacterium isolated from blood culture.""International journal of systematic and evolutionary microbiology57.6 (2007): 1200-1203.",
Haematomicrobium sanguinis DSM 21259,1121020,potential,,blood,,putative,FALSE,,human,"Yap, Desmond YH, et al. ""Arthrobacter sanguinis: an uncommon cause of peritonitis in a peritoneal dialysis patient.""Nephrology (Carlton, Vic.)20.11 (2015): 868.",
Legionella nagasakiensis,535290,potential,,resp,,putative,FALSE,,human,"Yang, Genyan, et al. ""Legionella nagasakiensis sp. nov., isolated from water samples and from a patient with pneumonia.""International journal of systematic and evolutionary microbiology62.2 (2012): 284-288.",
Leuconostoc lactis,1246,opportunistic,,blood,,established,FALSE,,human,"Yang, C. ""Leuconostoc lactis bacteremia: case report.""Reactions1577 (2015): 245-14.",
Neisseria macacae,496,potential,,blood,,established,FALSE,,human,"Yamamoto, Yasumasa, et al. ""Neisseria macacae bacteremia: report of two cases with a literature review.""BMC Infectious Diseases20.1 (2020): 1-4.",
Mixta calida,665913,potential,,blood,,established,FALSE,,human,"Yamada, Kageto, et al. ""Pantoea calida bacteremia in an adult with end-stage stomach cancer under inpatient care.""Journal of Infection and Chemotherapy23.6 (2017): 407-409.",
Mycoplasma penetrans,28227,primary,,"blood, resp, stool",,established,FALSE,,human,"Yanez, Antonio, et al. ""Mycoplasma penetrans bacteremia and primary antiphospholipid syndrome.""�Emerging Infectious Diseases�5.1 (1999): 164.",
Treponema maltophilum ATCC 51939,1125699,potential,,oral,,established,FALSE,,human,"Wyss, Choi, et al. ""Treponema maltophilum sp. nov., a small oral spirochete isolated from human periodontal lesions.""International Journal of Systematic and Evolutionary Microbiology46.3 (1996): 745-752.",
Treponema putidum,221027,potential,,oral,,putative,FALSE,,human,"Wyss, C., et al. ""Treponema putidum sp. nov., a medium-sized proteolytic spirochaete isolated from lesions of human periodontitis and acute necrotizing ulcerative gingivitis.""International journal of systematic and evolutionary microbiology54.4 (2004): 1117-1122.",
Treponema parvum,138851,potential,,oral,,established,FALSE,,human,"Wyss, C., et al. ""Treponema parvum sp. nov., a small, glucoronic or galacturonic acid-dependent oral spirochaete from lesions of human periodontitis and acute necrotizing ulcerative gingivitis.""International journal of systematic and evolutionary microbiology51.3 (2001): 955-962.",
Treponema lecithinolyticum,53418,potential,,oral,,established,FALSE,,human,"Wyss, C., et al. ""Treponema lecithinolyticum sp. nov., a small saccharolytic spirochaete with phospholipase A and C activities associated with periodontal diseases.""International Journal of Systematic and Evolutionary Microbiology49.4 (1999): 1329-1339.",
Treponema amylovorum,59892,potential,,oral,,established,FALSE,,human,"Wyss, C., et al. ""Treponema amylovorum sp. nov., a saccharolytic spirochete of medium size isolated from an advanced human periodontal lesion.""International Journal of Systematic and Evolutionary Microbiology47.3 (1997): 842-845.",
Arcobacter skirrowii,28200,potential,,stool,,putative,FALSE,,human,"Wybo, Ingrid, et al. ""Isolation of Arcobacter skirrowii from a patient with chronic diarrhea.""Journal of clinical microbiology42.4 (2004): 1851-1852.",
Arachnia propionica,1750,commensal,,abscess,"skin, nasal ",established,FALSE,,human,"Wunderink, Herman F., et al. ""Pelvic actinomycosis-like disease due to Propionibacterium propionicum after hysteroscopic removal of an intrauterine device.""Journal of clinical microbiology49.1 (2011): 466-468.",
Staphylococcus saccharolyticus,33028,commensal,,blood,skin,established,FALSE,,human,"Wu, Xiaomei, Chunyan Yu, and Xinyan Wang. ""A case of Staphylococcus saccharolyticus pneumonia.""International Journal of Infectious Diseases13.2 (2009): e43-e46.",
Enterobacter huaxiensis,2494702,potential,,blood,,putative,FALSE,,human,"Wu, Wenjing, et al. ""Enterobacter huaxiensis sp. nov. and Enterobacter chuandaensis sp. nov., recovered from human blood.""International journal of systematic and evolutionary microbiology69.3 (2019): 708-714.",
Neisseria dumasiana,1931275,primary,,skin,,established,FALSE,,human,"Wroblewski, Danielle, et al. ""Neisseria dumasiana sp. nov. from human sputum and a dogs mouth.""�International Journal of Systematic and Evolutionary Microbiology�67.11 (2017): 4304-4310.",
Clostridium carnis,1530,potential,,blood,,putative,FALSE,,human,"Wort, A. J., and R. L. Ozere. ""Characteristics of a strain of Clostridium carnis causing septicaemia in a young infant.""Journal of clinical pathology29.11 (1976): 1011-1013.",
