#Coverage (X)	Coverage
1.0	97.46823862378736
2.0	97.42373634402286
3.0	97.38667394910216
4.0	97.32035982926472
5.0	97.18542627315936
6.0	96.89345714118515
7.0	96.30498884984539
8.0	95.21674246536342
9.0	93.4250843898964
10.0	90.74756414301152
11.0	87.01301601001958
12.0	82.08340312423576
13.0	76.08756526826386
14.0	69.15085200787419
15.0	61.5517552405243
16.0	53.707577542864776
17.0	45.892885325983826
18.0	38.4506226208288
19.0	31.576862232194372
20.0	25.425060853099268
21.0	20.153519565285023
22.0	15.679545217492091
23.0	12.002839569482958
24.0	9.06779290778266
25.0	6.723858396824909
26.0	4.9212702196805225
27.0	3.5514769904432484
28.0	2.528553278522679
29.0	1.7898525129480447
30.0	1.2656348414240455
31.0	0.8892314800469876
32.0	0.6349937683911264
33.0	0.45952372162544464
34.0	0.33755958557824783
35.0	0.25359286789907287
36.0	0.19589547276154917
37.0	0.15510104459850993
38.0	0.12754203454329627
39.0	0.10745515151972995
40.0	0.09497742482611216
41.0	0.0859979755130098
42.0	0.07995256529324024
43.0	0.07522102422790056
44.0	0.0712149323889264
45.0	0.0681519245442388
46.0	0.06520176435698488
47.0	0.06223548307580984
48.0	0.060373496728118425
49.0	0.05847120764562419
50.0	0.05673012950232703
51.0	0.05476335604416249
