sample,fasta
SRR11904202,https://github.com/cdcgov/oamd-bio-test-data/raw/refs/heads/neissflow/testdata/fastas/SRR11904202_contigs.fa
SRR11904206,https://github.com/cdcgov/oamd-bio-test-data/raw/refs/heads/neissflow/testdata/fastas/SRR11904206_contigs.fa
SRR11904216,https://github.com/cdcgov/oamd-bio-test-data/raw/refs/heads/neissflow/testdata/fastas/SRR11904216_contigs.fa
SRR9985899,https://github.com/cdcgov/oamd-bio-test-data/raw/refs/heads/neissflow/testdata/fastas/SRR9985899_contigs.fa
