sample,fastq_1,fastq_2
GCWGS-14548-UT-M03999-210114,https://github.com/cdcgov/oamd-bio-test-data/raw/refs/heads/neissflow/testdata/fastqs/GCWGS-14548-UT-M03999-210114_S19_L001_R1_001.fastq.gz,https://github.com/cdcgov/oamd-bio-test-data/raw/refs/heads/neissflow/testdata/fastqs/GCWGS-14548-UT-M03999-210114_S19_L001_R2_001.fastq.gz
GCWGS-15874-WA-M5130-210521,https://github.com/cdcgov/oamd-bio-test-data/raw/refs/heads/neissflow/testdata/fastqs/GCWGS-15874-WA-M5130-210521_S13_L001_R1_001.fastq.gz,https://github.com/cdcgov/oamd-bio-test-data/raw/refs/heads/neissflow/testdata/fastqs/GCWGS-15874-WA-M5130-210521_S13_L001_R2_001.fastq.gz
