sample_id,fasta_path,subtype,segment
SRR28891413,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28891413.fa,A,
SRR28891416,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28891416.fa,A,
SRR28891417,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28891417.fa,A,
SRR28891419,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28891419.fa,A,
SRR28891426,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28891426.fa,B,
SRR28891427,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28891427.fa,A,
SRR28891430,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28891430.fa,B,
SRR28891432,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28891432.fa,B,
SRR28891434,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28891434.fa,A,
SRR28891439,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28891439.fa,A,
SRR28895539,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28895539.fa,B,
SRR28895540,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28895540.fa,B,
SRR28895541,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28895541.fa,B,
SRR28895542,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28895542.fa,B,
SRR28895543,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/rsv/SRR28895543.fa,B,
