sample_id,fasta_path,subtype,segment
SRR28958948,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR28958948_4.fa,B,HA
SRR28958948,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR28958948_6.fa,B,NA
SRR28958949,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR28958949_4.fa,B,HA
SRR28958949,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR28958949_6.fa,B,NA
SRR28958950,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR28958950_4.fa,B,HA
SRR28958950,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR28958950_6.fa,B,NA
SRR31650184_FLU_LACPHL-INF00673,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR31650184_FLU_LACPHL-INF00673_4.fa,H1N1,HA
SRR31650184_FLU_LACPHL-INF00673,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR31650184_FLU_LACPHL-INF00673_6.fa,H1N1,NA
SRR31650190_FLU_LACPHL-INF00684,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR31650190_FLU_LACPHL-INF00684_4.fa,H1N1,HA
SRR31650190_FLU_LACPHL-INF00684,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR31650190_FLU_LACPHL-INF00684_6.fa,H1N1,NA
SRR31650223_FLU_LACPHL-INF00654,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR31650223_FLU_LACPHL-INF00654_4.fa,H1N1,HA
SRR31650223_FLU_LACPHL-INF00654,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR31650223_FLU_LACPHL-INF00654_6.fa,H1N1,NA
SRR31750220_FLU_LACPHL-INF00732,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR31750220_FLU_LACPHL-INF00732_4.fa,H3N2,HA
SRR31750220_FLU_LACPHL-INF00732,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR31750220_FLU_LACPHL-INF00732_6.fa,H3N2,NA
SRR31750224_FLU_LACPHL-INF00743,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR31750224_FLU_LACPHL-INF00743_4.fa,H3N2,HA
SRR31750224_FLU_LACPHL-INF00743,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR31750224_FLU_LACPHL-INF00743_6.fa,H3N2,NA
SRR31750242_FLU_LACPHL-INF00733,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR31750242_FLU_LACPHL-INF00733_4.fa,H3N2,HA
SRR31750242_FLU_LACPHL-INF00733,https://github.com/CDCgov/oamd-bio-test-data/tree/nextstrainwrapper/testdata/influenza/SRR31750242_FLU_LACPHL-INF00733_6.fa,H3N2,NA
