Seq_ID	Mt_Cmt127.A_Junction_Hap_2	Mt_Cmt139.X_Junction_Hap_27	Mt_Cmt154.A_Junction_Hap_3	Mt_Cmt154.B_Junction_Hap_4	Mt_Cmt154.E_Junction_Hap_7	Mt_Cmt169.A_Junction_Hap_8	Mt_Cmt169.B_Junction_Hap_9	Mt_Cmt169.C_Junction_Hap_10	Mt_Cmt169.X_Junction_Hap_36	Mt_Cmt184.A_Junction_Hap_11	Mt_Cmt184.B_Junction_Hap_12	Mt_Cmt184.C_Junction_Hap_13	Mt_Cmt184.D_Junction_Hap_14	Mt_Cmt184.F_Junction_Hap_16	Mt_Cmt184.X_Junction_Hap_34	Mt_Cmt184.X_Junction_Hap_39	Mt_Cmt199.A_Junction_Hap_17	Mt_Cmt199.B_Junction_Hap_18	Mt_Cmt199.C_Junction_Hap_19	Mt_Cmt199.X_Junction_Hap_29	Mt_Cmt199.X_Junction_Hap_30	Mt_Cmt199.X_Junction_Hap_31	Mt_Cmt199.X_Junction_Hap_32	Mt_Cmt199.X_Junction_Hap_67	Mt_Cmt214.X_Junction_Hap_25	Mt_Cmt214.X_Junction_Hap_57	Mt_MSR_PART_A_Hap_1	Mt_MSR_PART_A_Hap_2	Mt_MSR_PART_A_Hap_3	Mt_MSR_PART_B_Hap_1	Mt_MSR_PART_B_Hap_2	Mt_MSR_PART_C_Hap_1	Mt_MSR_PART_D_Hap_1	Mt_MSR_PART_E_Hap_1	Mt_MSR_PART_E_Hap_2	Mt_MSR_PART_F_Hap_1	Mt_MSR_PART_F_Hap_2	Nu_360i2_PART_A_Hap_1	Nu_360i2_PART_A_Hap_3	Nu_360i2_PART_A_Hap_4	Nu_360i2_PART_B_Hap_1	Nu_360i2_PART_B_Hap_3	Nu_360i2_PART_B_Hap_4	Nu_360i2_PART_B_Hap_8	Nu_360i2_PART_C_Hap_1	Nu_360i2_PART_C_Hap_2	Nu_360i2_PART_C_Hap_3	Nu_360i2_PART_C_Hap_4	Nu_360i2_PART_D_Hap_1	Nu_360i2_PART_D_Hap_2	Nu_360i2_PART_D_Hap_3	Nu_360i2_PART_D_Hap_5	Nu_360i2_PART_E_Hap_1	Nu_360i2_PART_E_Hap_2	Nu_360i2_PART_E_Hap_3	Nu_360i2_PART_E_Hap_5	Nu_360i2_PART_E_Hap_6	Nu_360i2_PART_F_Hap_1	Nu_360i2_PART_F_Hap_3	Nu_360i2_PART_F_Hap_6	Nu_378_PART_A_Hap_2	Nu_378_PART_A_Hap_4	Nu_378_PART_A_Hap_5	Nu_378_PART_A_Hap_6	Nu_378_PART_A_Hap_7	Nu_378_PART_A_Hap_8	Nu_378_PART_B_Hap_1	Nu_378_PART_B_Hap_2	Nu_378_PART_C_Hap_1	Nu_378_PART_C_Hap_2	Nu_378_PART_C_Hap_4	Nu_378_PART_D_Hap_10	Nu_378_PART_D_Hap_11	Nu_378_PART_D_Hap_15	Nu_378_PART_D_Hap_2	Nu_378_PART_D_Hap_3	Nu_378_PART_D_Hap_4	Nu_378_PART_D_Hap_5	Nu_378_PART_D_Hap_6	Nu_378_PART_D_Hap_7	Nu_378_PART_D_Hap_8	Nu_CDS1_PART_A_Hap_1	Nu_CDS1_PART_A_Hap_2	Nu_CDS1_PART_A_Hap_4	Nu_CDS1_PART_B_Hap_1	Nu_CDS1_PART_B_Hap_2	Nu_CDS1_PART_B_Hap_4	Nu_CDS2_PART_A_Hap_1	Nu_CDS2_PART_A_Hap_2	Nu_CDS2_PART_A_Hap_7	Nu_CDS2_PART_A_Hap_9	Nu_CDS2_PART_B_Hap_1	Nu_CDS2_PART_B_Hap_3	Nu_CDS3_PART_A_Hap_1	Nu_CDS3_PART_A_Hap_2	Nu_CDS3_PART_A_Hap_5	Nu_CDS3_PART_B_Hap_1	Nu_CDS4_PART_A_Hap_1	Nu_CDS4_PART_A_Hap_2	Nu_CDS4_PART_B_Hap_1	Nu_CDS4_PART_B_Hap_2	Nu_CDS4_PART_B_Hap_3	Nu_CDS4_PART_B_Hap_4
CIA10791_20											X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X													X		X		
CKS10041_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CIL10061_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CKS10011_20				X																									X	X		X	X	X			X	X			X					X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X						
CIL10081_20				X		X		X			X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10101_19																											X			X		X	X	X			X	X			X				X	X			X				X					X				X	X				X	X		X					X														X			X		X			X		X		X		
CIL10071_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X				
CMA10141_19				X																							X			X		X	X	X			X	X			X					X			X				X					X					X					X		X					X														X			X											
CIL10111_22											X																X			X		X	X	X		X		X			X				X	X			X				X														X	X		X					X								X			X		X				X		X			X	X		X			
CMA10081_19				X																							X			X		X	X	X			X	X			X				X	X			X				X					X				X	X				X	X		X					X														X			X		X			X						
CIL10091_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CMA10021_19				X																							X			X		X	X	X			X	X			X				X	X			X				X					X				X	X				X	X		X					X														X			X		X					X		X		
CIL10121_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CKS10071_20			X																								X			X		X	X	X			X	X			X				X	X			X				X					X			X						X			X								X	X				X			X			X			X		X			X		X		X		
CIL10131_20											X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10121_19				X																							X			X		X	X	X			X																									X					X			X					X														X			X							X		X		
CIL10151_22											X																X			X		X	X	X		X		X			X				X	X			X				X					X				X	X				X	X		X					X		X						X			X		X				X		X			X	X		X			
CIL10651_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CIL10711_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CIL10172_20				X																										X		X	X	X				X			X				X	X			X				X								X	X					X		X	X						X	X									X		X				X							X		X		
CIL10161_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CMA10301_19																											X			X		X	X	X			X	X			X				X	X			X				X					X				X	X				X	X		X					X														X			X		X			X						
CIL10091_20																											X		X	X		X	X	X		X	X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10051_19			X																								X			X		X	X	X			X		X	X	X						X	X		X	X			X			X		X																											X		X				X			X				X		X		
CIL10151_20											X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CIL10651_23				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CIL10741_20											X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CIL10101_19										X																		X		X		X	X	X		X		X			X				X	X			X				X					X				X	X				X	X		X					X		X					X			X			X				X		X			X		X		X		
CIL10151_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CMA10171_19				X																							X			X		X	X	X			X	X			X		X			X			X				X									X					X			X					X														X			X		X			X		X		X		
CIL10101_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10151_19				X																							X			X		X	X	X			X	X			X				X	X			X				X									X	X				X	X		X					X														X			X							X		X		
CIL10241_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10221_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X	X				X	X	X	X					X	X	X					X	X			X		X	X			X			X		X	X	X	X	X		
CIL10161_20				X							X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10591_19				X																							X			X		X	X	X			X	X			X					X			X				X					X				X	X				X	X		X					X														X					X			X						
CIL10281_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10331_19																												X		X		X	X	X		X			X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10181_20																											X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X						
CMA10161_19				X																							X			X		X	X	X			X	X			X				X	X			X				X					X				X	X				X	X		X					X														X			X		X			X		X		X		
CIL10281_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CMA10181_19				X																							X			X		X	X	X			X	X			X				X	X			X				X					X				X					X			X					X														X			X		X			X		X		X		
CIL10301_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10471_19																												X		X		X	X	X		X			X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10421_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CMA10621_19			X																								X			X		X	X	X			X		X		X							X			X						X		X				X		X			X		X					X								X			X		X				X			X		X		X		X		
CIL10291_20											X																X			X		X	X	X		X		X			X					X			X				X					X			X						X		X							X							X			X		X				X		X			X		X		X		
CMA10821_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10322_20				X							X																X		X	X		X	X	X		X	X																									X					X			X							X						X			X								X			X		X		X		
CMA10611_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10431_20				X																									X	X		X	X	X			X	X			X					X			X				X					X			X	X					X		X	X						X	X											X				X		X			X		X		X		
CMA10741_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10161_22								X			X																X			X		X	X	X		X		X			X				X	X			X				X					X				X	X				X	X		X					X		X						X			X		X				X		X			X	X		X			
CMA10541_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10441_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10721_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10191_20											X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10751_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10111_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CMA10811_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10461_20			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CMA10871_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10441_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CMA10481_19																											X	X		X		X	X	X		X	X				X						X	X		X	X			X			X					X	X				X	X		X					X		X											X				X			X		X		X				
CIL10481_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10661_19																											X			X		X	X	X			X	X			X				X				X				X					X				X	X				X	X		X					X								X			X			X			X		X			X		X		X		
CIL10401_20																													X	X		X	X	X			X	X			X				X	X			X				X					X																									X			X		X				X		X			X		X		X		
CMA10891_19																											X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10371_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CMA10791_19																											X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10471_23				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X						X			X								X	X			X			X			X				X		X			X	X		X			
CME35521_14												X																	X	X		X	X	X			X	X			X				X	X			X				X					X				X	X				X	X		X					X		X						X			X		X				X		X			X	X		X			
CIL10511_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMI10011_23				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CIL10611_20											X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10731_19																											X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10461_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CMA10921_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X											X				X			X		X		X		X		
CIL10551_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CMI10011_19			X																								X			X		X	X	X			X		X		X						X			X				X					X		X	X					X		X	X						X	X	X														X			X				X				
CIL10531_23				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10831_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CIL10381_20																											X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10931_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CIL10571_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMA10911_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X			X		X				X					X		X		X																X				X			X		X						
CIL10481_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CMI10021_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CIL10591_20					X						X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMI10031_19																											X			X		X	X	X			X	X	X		X					X	X	X	X	X	X		X	X	X			X	X		X	X					X		X	X						X	X												X			X			X		X	X	X	X	X		
CIL10611_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CMI10041_19																											X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X																		X		X		X		X		
CIL10671_20			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CIL10621_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMI10221_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CMI10071_19			X																								X			X		X	X	X			X		X		X						X			X				X					X		X	X					X		X	X						X	X												X			X							X		X		
CMI10051_19																											X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CMI10021_19			X																								X			X		X	X	X			X	X	X		X				X	X	X	X	X	X	X		X	X	X				X		X	X					X		X	X						X	X	X										X	X			X			X		X	X	X	X	X		
CMI10031_21				X																							X			X		X	X	X			X	X			X				X	X			X				X					X				X	X				X	X		X					X								X			X		X				X		X			X	X		X			
CMI10081_19																											X			X		X	X	X			X		X		X						X			X				X					X		X						X		X							X							X			X			X			X			X		X		X		X		
CMI10061_19																											X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X												X			X			X		X		X		X		
CMI10071_23			X																								X			X		X	X	X			X	X	X		X					X	X	X	X	X	X		X	X	X			X	X		X	X					X		X	X						X	X	X					X			X			X			X		X	X		X		X		X		
CMI10121_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X												X			X											
CMI10141_19																											X			X		X	X	X			X		X		X						X			X				X					X		X	X					X		X	X						X	X	X	X										X			X		X	X		X		X		X		
CNE10101_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X							X		X		
CMI10111_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X			X						X	X						X			X		X				X		X			X	X		X			
CMI10091_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X												X			X			X				X		X		
CMI10111_19			X																								X			X		X	X	X			X		X		X						X			X				X					X		X	X					X		X	X						X	X												X			X							X		X		
CMI10261_21				X																									X	X		X	X	X			X	X			X				X	X			X				X					X				X	X				X	X		X					X		X					X			X			X				X		X			X	X		X			
CMI10181_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CMI10351_19																											X			X		X	X	X			X		X		X						X	X		X	X			X	X						X	X					X		X	X						X	X												X			X			X		X		X				
CMI10341_19																											X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X									X			X			X			X		X		X		X		
CMI10211_19			X																								X			X		X	X	X			X		X		X						X			X				X					X		X	X					X		X	X						X	X						X			X		X	X			X			X		X		X		X		
CNE10081_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMI10391_19																											X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X												X						X		X						
CNE10142_21				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMN10031_20																											X			X		X	X	X		X		X			X					X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10151_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10171_20																											X		X	X		X	X	X		X	X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMI10361_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X												X			X			X		X		X		X		
CMI10521_19							X																						X	X		X	X	X			X	X			X				X	X			X				X					X			X						X			X			X				X		X			X			X			X				X		X			X	X		X			
CNE10131_20				X							X																X		X	X		X	X	X		X	X	X			X				X	X			X				X					X			X	X					X		X	X						X	X											X				X		X			X		X		X		
CMI10531_19																											X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X									X			X			X			X		X		X		X		
CNE10111_20				X							X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMN10082_20											X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10161_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X									X								X			X		X		X		
CMN10071_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10201_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X											
CMN10061_20				X							X																X		X	X		X	X	X		X	X	X			X				X				X				X					X				X					X			X							X						X			X		X				X		X			X		X				
CNE10181_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMN10091_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X						
CNE10112_21				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMN10041_20																											X			X		X	X	X		X		X			X					X			X				X					X			X	X					X		X	X						X	X						X			X								X			X		X		X		
CNE10211_20																											X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X											X				X		X			X		X		X		
CMN10191_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10191_20											X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMN10111_21				X																							X			X		X	X	X			X	X			X				X	X			X				X					X				X	X				X	X		X					X								X			X		X				X		X			X	X		X			
CNE10281_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X											
CMN10201_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10261_20				X							X																X		X	X		X	X	X		X	X	X			X				X	X			X				X					X			X	X					X		X	X						X	X									X		X				X		X			X		X		X		
CMN10171_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X	X		X			
CNE10431_20											X																X			X		X	X	X		X		X			X					X			X				X					X			X	X					X		X	X						X	X																	X			X		X		X		
CMN10151_20				X																							X		X	X		X	X	X		X	X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10342_20																											X			X		X	X	X		X		X			X					X			X				X					X																									X			X		X				X		X			X		X		X		
CMN10161_20																											X		X	X		X	X	X		X	X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10291_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMN10201_21				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10311_20											X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X									X		X				X		X			X		X		X		
CMN10221_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X						
CNE10401_20				X							X																X		X	X		X	X	X		X	X	X			X				X				X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMN10111_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10371_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMN10241_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X				
CNE10321_20											X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMN10211_20																											X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10631_20			X																								X			X		X	X	X			X	X			X				X				X				X					X			X						X			X								X	X				X			X			X			X		X			X		X		X		
CMN10261_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10471_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X											X				X		X			X		X		X		
CMN10231_20				X																									X	X		X	X	X			X	X			X					X			X				X					X				X					X			X							X																	X			X		X				
CNE10271_20																											X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X											X				X		X			X		X		X		
CMN10361_20				X																									X	X		X	X	X			X				X				X	X			X				X								X	X					X		X	X						X	X						X			X		X				X		X			X						
CNE10061_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10092_21				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMN10281_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMN10271_20																											X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10441_20				X							X																X		X	X		X	X	X		X	X	X			X				X				X				X					X			X	X					X		X	X						X	X						X			X								X			X		X		X		
CMN10401_21				X																									X	X		X	X	X			X	X			X				X	X			X				X					X				X	X				X	X		X					X		X					X			X			X				X		X			X	X		X			
CNE10361_20																											X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CMN10371_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE10481_20																											X		X	X		X	X	X		X	X	X			X				X				X				X					X			X	X					X		X	X						X	X									X		X				X							X		X		
CMN10301_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNE51861_16				X																							X			X		X	X	X			X	X			X				X	X			X				X					X			X						X			X								X	X				X			X		X				X			X		X	X		X			
CMN10251_20																													X	X		X	X	X			X	X			X				X	X			X				X					X			X						X		X							X							X			X		X				X		X			X						
CNH10031_19			X																								X			X		X	X	X			X		X		X						X	X		X	X			X			X		X			X	X				X	X		X					X		X						X			X		X				X			X		X		X		X		
CMN10401_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CNH10021_19				X																							X			X		X	X	X			X	X			X				X	X			X				X					X				X	X				X	X		X					X								X			X			X			X		X			X		X		X		
CMN10431_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X						
CNJ10081_19											X																	X		X		X	X	X		X			X		X						X	X		X	X			X	X				X			X	X				X	X		X					X		X											X				X			X		X	X		X			
CMN10461_20											X																X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
COH10041_19																												X		X		X	X	X		X			X		X						X	X		X	X			X	X				X			X	X				X	X		X					X		X											X				X		X	X		X	X		X			
CMN10341_20																											X			X		X	X	X		X		X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
