Seq_ID	Mt_Cmt127.A_Junction_Hap_2	Mt_Cmt139.X_Junction_Hap_27	Mt_Cmt154.A_Junction_Hap_3	Mt_Cmt154.B_Junction_Hap_4	Mt_Cmt154.E_Junction_Hap_7	Mt_Cmt169.A_Junction_Hap_8	Mt_Cmt169.B_Junction_Hap_9	Mt_Cmt169.C_Junction_Hap_10	Mt_Cmt169.X_Junction_Hap_36	Mt_Cmt184.A_Junction_Hap_11	Mt_Cmt184.B_Junction_Hap_12	Mt_Cmt184.C_Junction_Hap_13	Mt_Cmt184.D_Junction_Hap_14	Mt_Cmt184.F_Junction_Hap_16	Mt_Cmt184.X_Junction_Hap_34	Mt_Cmt184.X_Junction_Hap_39	Mt_Cmt199.A_Junction_Hap_17	Mt_Cmt199.B_Junction_Hap_18	Mt_Cmt199.C_Junction_Hap_19	Mt_Cmt199.X_Junction_Hap_29	Mt_Cmt199.X_Junction_Hap_30	Mt_Cmt199.X_Junction_Hap_31	Mt_Cmt199.X_Junction_Hap_32	Mt_Cmt199.X_Junction_Hap_67	Mt_Cmt214.X_Junction_Hap_25	Mt_Cmt214.X_Junction_Hap_57	Mt_MSR_PART_A_Hap_1	Mt_MSR_PART_A_Hap_2	Mt_MSR_PART_A_Hap_3	Mt_MSR_PART_B_Hap_1	Mt_MSR_PART_B_Hap_2	Mt_MSR_PART_C_Hap_1	Mt_MSR_PART_D_Hap_1	Mt_MSR_PART_E_Hap_1	Mt_MSR_PART_E_Hap_2	Mt_MSR_PART_F_Hap_1	Mt_MSR_PART_F_Hap_2	Nu_360i2_PART_A_Hap_1	Nu_360i2_PART_A_Hap_3	Nu_360i2_PART_A_Hap_4	Nu_360i2_PART_B_Hap_1	Nu_360i2_PART_B_Hap_3	Nu_360i2_PART_B_Hap_4	Nu_360i2_PART_B_Hap_8	Nu_360i2_PART_C_Hap_1	Nu_360i2_PART_C_Hap_2	Nu_360i2_PART_C_Hap_3	Nu_360i2_PART_C_Hap_4	Nu_360i2_PART_D_Hap_1	Nu_360i2_PART_D_Hap_2	Nu_360i2_PART_D_Hap_3	Nu_360i2_PART_D_Hap_5	Nu_360i2_PART_E_Hap_1	Nu_360i2_PART_E_Hap_2	Nu_360i2_PART_E_Hap_3	Nu_360i2_PART_E_Hap_5	Nu_360i2_PART_E_Hap_6	Nu_360i2_PART_F_Hap_1	Nu_360i2_PART_F_Hap_3	Nu_360i2_PART_F_Hap_6	Nu_378_PART_A_Hap_2	Nu_378_PART_A_Hap_4	Nu_378_PART_A_Hap_5	Nu_378_PART_A_Hap_6	Nu_378_PART_A_Hap_7	Nu_378_PART_A_Hap_8	Nu_378_PART_B_Hap_1	Nu_378_PART_B_Hap_2	Nu_378_PART_C_Hap_1	Nu_378_PART_C_Hap_2	Nu_378_PART_C_Hap_4	Nu_378_PART_D_Hap_10	Nu_378_PART_D_Hap_11	Nu_378_PART_D_Hap_15	Nu_378_PART_D_Hap_2	Nu_378_PART_D_Hap_3	Nu_378_PART_D_Hap_4	Nu_378_PART_D_Hap_5	Nu_378_PART_D_Hap_6	Nu_378_PART_D_Hap_7	Nu_378_PART_D_Hap_8	Nu_CDS1_PART_A_Hap_1	Nu_CDS1_PART_A_Hap_2	Nu_CDS1_PART_A_Hap_4	Nu_CDS1_PART_B_Hap_1	Nu_CDS1_PART_B_Hap_2	Nu_CDS1_PART_B_Hap_4	Nu_CDS2_PART_A_Hap_1	Nu_CDS2_PART_A_Hap_2	Nu_CDS2_PART_A_Hap_7	Nu_CDS2_PART_A_Hap_9	Nu_CDS2_PART_B_Hap_1	Nu_CDS2_PART_B_Hap_3	Nu_CDS3_PART_A_Hap_1	Nu_CDS3_PART_A_Hap_2	Nu_CDS3_PART_A_Hap_5	Nu_CDS3_PART_B_Hap_1	Nu_CDS4_PART_A_Hap_1	Nu_CDS4_PART_A_Hap_2	Nu_CDS4_PART_B_Hap_1	Nu_CDS4_PART_B_Hap_2	Nu_CDS4_PART_B_Hap_3	Nu_CDS4_PART_B_Hap_4
CFL10231_21				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X									X		X				X		X			X		X		X		
CFL10721_21			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X		X		X		
CFL10972_20			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CCO10191_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CAZ10441_23			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X											X				X			X				X		X		
CCA10131_22			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X		X		X		
CCO10141_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CCO10171_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CFL10191_22			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CFL10201_22			X																								X			X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X			X			X		X			X		X		X		
CFL10531_22			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CFL11061_22			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CCO10121_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CFL10571_21				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X						
CFL10671_22			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CCO10131_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CFL10831_20			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X			X	X				X	X		X							X			X			X			X			X			X			X		X		X		X		
CCO10201_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CFL10521_22			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CFL10801_22			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CCO10221_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CCO10241_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CCO10181_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CCO10231_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CCO10251_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CFL10831_21			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X		X		X		
CCO10361_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CFL10761_22			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CFL10091_19						X																						X		X		X	X	X		X		X			X				X	X			X				X					X				X	X				X	X		X					X		X											X				X		X			X		X		X		
CFL10801_20			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X	X			X			X		X		X		X		
CFL10111_20			X																								X			X		X	X	X			X	X			X				X	X			X				X					X			X						X			X								X	X				X			X			X			X		X			X		X		X		
CFL10141_20			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CFL10121_19						X																						X		X		X	X	X		X		X			X				X	X			X				X					X				X	X				X	X		X					X		X											X				X		X			X						
CFL10171_20				X																									X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CCT10021_21				X																							X			X		X	X	X			X	X			X				X	X			X				X					X					X	X				X		X					X		X						X			X		X				X		X			X	X		X			
CFL10871_20			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
CFL10201_20			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CFL10491_20			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CFL10851_21			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X		X		X		
CCO10581_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CCO10331_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CCT10261_23				X																							X			X		X	X	X			X	X			X				X	X			X				X					X			X						X			X								X	X			X			X			X				X		X			X	X		X			
CFL10011_19						X																						X		X		X	X	X		X		X	X		X				X	X	X	X	X	X	X		X	X	X			X	X			X	X				X	X		X					X		X											X				X		X			X		X		X		
CCO10951_23											X																	X		X		X	X	X		X		X			X				X	X			X				X					X				X	X				X	X		X					X		X					X			X			X				X		X			X		X		X		
CCO10281_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CCO10261_23						X																					X			X		X	X	X		X		X			X				X	X			X				X					X			X						X			X			X						X			X			X			X				X		X			X	X		X			
CCT10071_23			X																								X			X		X	X	X			X	X			X				X	X			X				X					X			X						X			X								X	X				X			X			X			X		X			X		X		X		
CCT10181_23			X																								X			X		X	X	X			X	X			X				X	X			X				X					X			X						X			X								X	X				X			X			X			X		X			X		X		X		
CCT10141_21							X												X								X			X		X	X	X		X		X			X				X	X			X				X								X	X					X			X						X	X									X		X				X		X			X	X		X			
CFL10731_20			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CFL10751_20			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X	X		X			
CFL10041_21																													X	X		X	X	X			X	X			X				X	X			X				X					X			X	X					X		X	X						X	X						X			X		X				X		X			X		X		X		
CFL10021_19						X																						X		X		X	X	X		X		X			X				X	X			X				X					X				X	X				X	X		X					X		X						X			X		X				X		X			X		X		X		
CFL10861_21			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X		X		X			X		X		X		X		
CCT10061_23			X																								X			X		X	X	X			X	X			X				X	X			X				X					X			X						X			X								X	X				X			X			X			X		X			X		X		X		
CFL10901_21			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X		X				X			X		X		X		X		
CFL10041_22											X						X										X			X		X	X	X			X	X			X				X	X			X				X					X				X	X				X	X		X					X		X						X			X		X				X		X			X	X		X			
CFL10511_22			X																								X			X		X	X	X			X		X		X						X	X		X	X			X	X				X		X	X					X		X	X						X	X						X			X			X			X			X		X		X		X		
