Sample_Taxid	clade_fragments_covered	abundance	rank	name
149	2.0	0.02	S1	Prevotella fusca JCM 17724
150	5.0	0.04	S	Bacteroides stercoris
151	1.0	0.01	S	Serratia fonticola
152	1.0	0.01	S	Weissella confusa
153	1.0	0.01	S	Bacteroides fragilis
154	6.0	0.05	S	Bacteroides thetaiotaomicron
155	2.0	0.02	S	Bacteroides nordii
156	1.0	0.01	S	Bacteroides caccae
157	1.0	0.01	S	Hungatella hathewayi
158	1.0	0.01	S	Porphyromonas gingivalis
159	142.0	1.27	S	Comamonas kerstersii
160	1.0	0.01	S	Ralstonia pickettii
161	1.0	0.01	S	Haemophilus influenzae
162	1.0	0.01	S	Bacteroides zoogleoformans
163	53.0	0.47	S	Sutterella wadsworthensis
164	2.0	0.02	S	Prevotella intermedia
165	1.0	0.01	S	Gemella haemolysans
166	3.0	0.03	S	Prevotella nigrescens
167	2.0	0.02	S	Alistipes onderdonkii
168	1.0	0.01	S	Cruoricaptor ignavus
169	27.0	0.24	S	Edwardsiella tarda
170	1.0	0.01	S	Paenibacillus polymyxa
171	1.0	0.01	S2	Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 = DSM 21854
172	1.0	0.01	S2	Escherichia phage F2
173	1.0	0.01	S2	Salmonella phage Sepoy
