GeneID,GeneName
HAEM1884,acs3
HAEM1885,acs4
NEIS2357,blaTEM-1
NEIS0123,rpoB_full
NEIS2210,tetM
HAEM1876,ecs1
HAEM1877,ecs2
HAEM1878,ecs3
HAEM1879,ecs4
HAEM1880,ecs5
HAEM1881,ecs6
HAEM1882,ecs7
HAEM1883,ecs8
HAEM1873,fcs1
HAEM1874,fcs2
HAEM1875,fcs3
HAEM1018,acrR
HAEM1019,acrA
HAEM1020,acrB
HAEM0902,rplD-L4
HAEM0906,rplV-L22
HAEM1263,ftsI_full
HAEM0118,blaTEM-1
HAEM1147,hcsB
HAEM1148,hcsA
HAEM1149,bcs4
HAEM1150,bcs3
HAEM1152,bcs1
HAEM1153,bexD
HAEM1156,bexA
HAEM1151,bcs2
HAEM1154,bexC
HAEM1155,bexB
HAEM1157,hcsB
HAEM1158,hcsA
HAEM1160,bcs3
HAEM1161,bcs2
HAEM1162,bcs1
HAEM1163,bexD
HAEM1164,bexC
HAEM1165,bexB
HAEM0810,hpd
HAEM1886,ccs2
HAEM1887,ccs3
HAEM1889,dcs3
HAEM1890,dcs4
NEIS1015,abcZ_full
NEIS1279,aceF
NEIS1727,ackA2
NEIS1729,acnA
NEIS1492,acnB
NEIS0486,adhA
NEIS1241,adhC
NEIS0767,adk_full
NEIS1942,aldA
NEIS1694,amiC
NEIS0617,ampD
NEIS1808,ampG
NEIS1549,aniA
NEIS2779,aniA
NEIS1788,anmK
NEIS0610,apaH
NEIS1205,ape1
NEIS0580,argH
NEIS1810,aroE_full
NEIS1769,ArsR
NEIS1566,AsnC
NEIS1185,aspA
NEIS2274,atlA
NEIS1859,autA
NEIS1676,bioF
NEIS0363,carB
NEIS1645,CcoN
NEIS1643,CcoO
NEIS2019,chpA
NEIS0775,clpS
NEIS1237,cmk
NEIS2743,cnl
NEIS1995,comP
NEIS2157,csaA
NEIS2158,csaB
NEIS2159,csaC
NEIS2160,csaD
NEIS2161,csb
NEIS0051,csc
NEIS2165,cseA
NEIS2166,cseB
NEIS2167,cseC
NEIS2168,cseD
NEIS2169,cseE
NEIS2170,cseF
NEIS2171,cseG
NEIS2177,cshC
NEIS2178,cshD
NEIS2184,cslA
NEIS2185,cslB
NEIS2186,cslC
NEIS2277,cspA
NEIS0054,cssA
NEIS0053,cssB
NEIS0052,cssC
NEIS0050,cssE
NEIS2164,cssF
NEIS2162,csw
NEIS2187,csxA
NEIS2188,csxB
NEIS2189,csxC
NEIS2163,csy
NEIS2173,cszAcshA
NEIS2174,cszBcshB
NEIS2175,cszC
NEIS2176,cszD
NEIS0055,ctrA
NEIS0056,ctrB
NEIS0057,ctrC
NEIS0058,ctrD
NEIS0066,ctrE
NEIS0067,ctrF
NEIS0049,ctrG
NEIS2066,cybB
NEIS1094,cysD
NEIS1096,cysG
NEIS1095,cysH
NEIS1091,cysI
NEIS1092,cysJ
NEIS1093,cysN
NEIS0822,cysU
NEIS0166,dadA
NEIS1731,ddpX
NEIS0321,dnaN
NEIS1443,dnaQ
NEIS0273,dsbA1
NEIS1885,dsbA2
