GeneID,GeneName
NEIS1760,dsbA3
NEIS2260,dsbC
NEIS1220,eno
NEIS2311,eppA
NEIS0366,ermB
NEIS2487,ermE
NEIS2133,etfB
NEIS2521,exl2
NEIS2276,exp1
NEIS2278,exp2
NEIS1853,farA
NEIS1852,farB
NEIS0350,fba
NEIS0004,fbp
NEIS1022,fbp
NEIS1963,fetA
NEIS0340,fetB2
NEIS0349,fHbp
NEIS1353,fis
NEIS1027,folB
NEIS1609,folP
NEIS1534,fumA
NEIS1396,fumC_full
NEIS0197,fur
NEIS0062,galE2
NEIS0048,galE
NEIS1778,galM
NEIS0581,galU
NEIS2137,gapA2
NEIS0199,gapA
NEIS1290,gatC
NEIS0419,gcp
NEIS1331,gdh_full
NEIS1018,ggt
NEIS0015,glmU
NEIS1809,glnA
NEIS1830,gloA
NEIS0930,gltA
NEIS2070,gmhA
NEIS2014,gmhB
NEIS2006,gntP
NEIS1524,gpm
NEIS1547,gpxA
NEIS1320,gyrA
NEIS0204,gyrB
NEIS2046,hemk
NEIS0702,hfq
NEIS0546,hisE
NEIS0769,hldA
NEIS2055,hldC
NEIS0773,hldD
NEIS1946,hpuA
NEIS1947,hpuB
NEIS1070,hscA
NEIS1319,hscB
NEIS0897,icd
NEIS1959,iga2
NEIS2237,incC2
NEIS0153,infA
NEIS0673,infC
NEIS1218,kdsA
NEIS0624,kdsB
NEIS1815,kdsC
NEIS2152,kdtA
NEIS2239,kfrB
NEIS2240,kfrC
NEIS2236,kleE
NEIS2235,korC
NEIS1816,kpsF
NEIS2199,lacY
NEIS2200,lacZ
NEIS1468,lbpA
NEIS1469,lbpB
NEIS1902,lgtA
NEIS1901,lgtB
NEIS2154,lgtC
NEIS2155,lgtD
NEIS1900,lgtE
NEIS1618,lgtF
NEIS2011,lgtG
NEIS0291,lot
NEIS0924,lpdA2
NEIS1280,lpd
NEIS1986,lpt3
NEIS2012,lpt6
NEIS1553,lptA
NEIS1814,lptC
NEIS0168,lpxA
NEIS0191,lpxB
NEIS0001,lpxC
NEIS0171,lpxD
NEIS0483,lpxH
NEIS0621,lpxK
NEIS0421,lpxL2
NEIS1351,lpxL
NEIS0384,lspA
NEIS0899,lst
NEIS2253,ltgx
NEIS1162,LysR
NEIS0488,macA
NEIS0489,macB
NEIS0620,maeA
NEIS1789,mafA MGI-1
NEIS0596,mafA MGI-2
NEIS2083,mafA MGI-3
NEIS0586,mafB1 MGI-2
NEIS1800,mafB-CT o1MGI-1
NEIS2575,mafB-CT o1MGI-2
NEIS2576,mafB-CT o3MGI-2
NEIS0597,mafB MGI-1 or mafB2 MGI-2
NEIS2084,mafB MGI-3
NEIS2574,mafI1 MGI-2
NEIS0598,mafI2 MGI-2
NEIS1799,mafI MGI-1
NEIS0221,mafI o1MGI-1
NEIS0223,mafI o1MGI-2
NEIS1795,mafI o2MGI-2
NEIS2087,mafI o2MGI-3
NEIS2092,mafI o3MGI-3
NEIS2577,mafI o4MGI-3
NEIS2085,mafI o5MGI-3
NEIS2508,mafI o6MGI-3
NEIS1777,mapA
NEIS2216,marR
NEIS0161,minD
NEIS0325,mlp
NEIS2961,mobA
NEIS2951,mobC
NEIS1310,modA
NEIS1194,modB
NEIS2364,modD
NEIS0304,msbA
NEIS1811,mtgA
NEIS1634,mtrC
NEIS1633,mtrD
NEIS1632,mtrE
NEIS1635,mtrR
NEIS1336,mutY
NEIS1969,nadA
NEIS0469,nagZ
NEIS1657,natC
NEIS1244,ndk
NEIS2109,nhba
NEIS0772,nmgI
NEIS0763,norM
NEIS0585,ntpA
NEIS0238,nuoB
NEIS0118,nusG
NEIS1403,opaA
NEIS1551,opaB
NEIS2198,opcA
NEIS1877,opcB
NEIS1813,ostA
NEIS0163,oxyR
NEIS1216,panD
NEIS2310,parA
NEIS2238,parB
NEIS2309,parB
NEIS1525,parC
NEIS1600,parE
NEIS1203,patA
NEIS1204,patB
NEIS1278,pdhC_full
NEIS1753,penA
NEIS1326,pgi1
NEIS1837,pgi2
NEIS2148,pgk
NEIS0213,pglA
NEIS2839,pglB2a
NEIS2840,pglB2b
NEIS2838,pglB2
NEIS0399,pglB
NEIS0379,pglC
NEIS0397,pglC
NEIS0396,pglD
NEIS0568,pglE
NEIS0402,pglF
NEIS0401,pglG
NEIS0400,pglH
NEIS0380,pglI
NEIS0539,pglL
NEIS2846,pglN2
NEIS2841,pglN
NEIS1776,pgm2
NEIS0743,pgm_full
NEIS0021,pilA/ftsY
NEIS0020,pilB/msrAB
NEIS0371,pilC1
NEIS0033,pilC2
NEIS1839,pilD
NEIS0210,pilE
NEIS1844,pilF
NEIS1838,pilG
NEIS0827,pilH/fimT
NEIS0828,pilI
NEIS0829,pilJ
NEIS0830,pilK
NEIS0412,pilM
NEIS0411,pilN
NEIS0410,pilO
NEIS0409,pilP
NEIS0408,pilQ
NEIS0036,pilT1
NEIS0721,pilT2
NEIS0035,pilU
NEIS0487,pilV
NEIS1246,pilW
NEIS0831,pilX
NEIS0723,pilZ
NEIS0905,pip
NEIS0414,ponA
NEIS1364,porA
NEIS2020,porB
NEIS0323,ppk
NEIS1033,proB
NEIS1733,prpB
NEIS1732,prpC
NEIS1766,putA
NEIS0074,pykA
NEIS2082,pyrH
NEIS0692,rbgA
NEIS1415,recX
NEIS1925,regF/sspA
NEIS1924,regG/sspB
NEIS2217,res
NEIS2134,rfaC
NEIS1456,rfaF
NEIS1619,rfaK
NEIS0046,rfbA
NEIS0047,rfbB
NEIS0065,rfbC2
NEIS0045,rfbC
NEIS0657,rlpB
NEIS0637,rnc
NEIS1440,rpiA
NEIS0120,rplA
NEIS0135,rplB
NEIS0132,rplC
NEIS0133,rplD
NEIS0144,rplE
NEIS0147,rplF
NEIS1257,rplI
NEIS0121,rplJ
NEIS0119,rplK
NEIS0122,rplL
NEIS2038,rplM
NEIS0142,rplN
NEIS0151,rplO
NEIS0139,rplP
NEIS0159,rplQ
NEIS0148,rplR
NEIS0531,rplS
NEIS0675,rplT
NEIS1847,rplU
NEIS0137,rplV
NEIS0134,rplW
NEIS0143,rplX
NEIS0817,rplY
NEIS1848,rpmA
NEIS1851,rpmB
NEIS0140,rpmC
NEIS0150,rpmD
NEIS1928,rpmE
NEIS0312,rpmF
NEIS1850,rpmG
NEIS0319,rpmH
NEIS0674,rpmI
NEIS0154,rpmJ
NEIS1238,rpsA
NEIS2080,rpsB
NEIS0138,rpsC
NEIS0157,rpsD
NEIS0149,rpsE
NEIS1260,rpsF
NEIS0126,rpsG
NEIS0146,rpsH
NEIS2037,rpsI
NEIS0129,rpsJ
NEIS0156,rpsK
NEIS0125,rpsL
NEIS0155,rpsM
NEIS0145,rpsN
NEIS0552,rpsO
NEIS0534,rpsP
NEIS0141,rpsQ
NEIS1258,rpsR
NEIS0136,rpsS
NEIS1688,rpsT
NEIS1921,rpsU
NEIS0927,sdhA
NEIS0928,sdhB
NEIS0925,sdhC
NEIS0926,sdhD
NEIS0117,secE
NEIS1554,serC
NEIS0825,sodB
NEIS1339,sodC
NEIS1682,speA
NEIS1680,speB
NEIS2303,ssbB
NEIS2233,ssb
NEIS2340,stbB
NEIS2341,stbC
NEIS0931,sucA
NEIS0932,sucB
NEIS0935,sucC
NEIS0936,sucD
NEIS1818,talA
NEIS1690,tbpA
NEIS1691,tbpB
NEIS2210,tetM
NEIS2334,topA
NEIS2302,topB
NEIS2255,traA
NEIS2259,traB
NEIS2202,traC
NEIS2262,traC
NEIS2249,traD
NEIS2250,traD
NEIS2248,traE
NEIS2257,traE
NEIS2247,traF
NEIS2271,traF
NEIS2246,traG
NEIS2273,traG
NEIS2272,traH
NEIS2245,traI
NEIS2251,traI
NEIS2244,traJ
NEIS2243,traK
NEIS2258,traK
NEIS2242,traL
NEIS2256,traL
NEIS2241,traM
NEIS2352,traM
NEIS2269,traN
NEIS2266,traU
NEIS2261,traV
NEIS2265,traW
NEIS2232,trbA
NEIS2231,trbB
NEIS2230,trbC
NEIS2267,trbC
NEIS2229,trbD
NEIS2228,trbE
NEIS2227,trbF
NEIS2226,trbG
NEIS2225,trbH
NEIS2224,trbI
NEIS2264,trbI
NEIS2223,trbJ
NEIS2222,trbK
NEIS2221,trbL
NEIS2351,trbL
NEIS2220,trbM
NEIS2350,trbM
NEIS2219,trbN
NEIS2234,trfA
NEIS0609,trkH
NEIS1829,tspA
NEIS0116,tuf
NEIS0128,tuf
NEIS2218,vapD
NEIS2956,vapD
NEIS2955,vapX
NEIS2332,virB10
NEIS2333,virB11
NEIS2323,virB1
NEIS2324,virB2
NEIS2325,virB3
NEIS2326,virB4
NEIS2327,virB5
NEIS2328,virB6
NEIS2329,virB7
NEIS2330,virB8
NEIS2331,virB9
NEIS2338,virBD2
NEIS2335,virBD4
NEIS1990,vsr
NEIS0256,xseB
NEIS2252,yaf
NEIS2254,yag
NEIS2263,ybe
NEIS2268,ybi
NEIS2270,ycb
NEIS2312,ych1
NEIS2275,ych
NEIS2279,yda
NEIS2280,ydbA
NEIS2281,ydbB
NEIS2282,ydcA
NEIS2283,ydcB
NEIS2284,ydd
NEIS2285,ydeA
NEIS2286,ydeB
NEIS2287,ydf
NEIS2288,ydg
NEIS2289,ydhA
NEIS2290,ydhB
NEIS2291,ydi
NEIS2292,yea
NEIS2293,yeb
NEIS2294,yecA
NEIS2295,yecB
NEIS2296,yedA
NEIS2297,yedB
NEIS2298,yee
NEIS2204,yegA
NEIS2299,yegA
NEIS2300,yegB
NEIS2301,yeh
NEIS2304,yfa
NEIS2305,yfb
NEIS2488,yfcA
NEIS2306,yfd
NEIS2307,yfeA
NEIS2308,yfeB
NEIS1812,yhbG
NEIS0165,zupT
NEIS0059,tex
