ID	allele_type
MTBC_161	core
MTBC_162	core
MTBC_163	core
MTBC_164	core
MTBC_165	core
MTBC_166	core
MTBC_167	core
MTBC_168	core
MTBC_169	core
MTBC_170	core
MTBC_171	core
MTBC_172	core
MTBC_173	core
MTBC_174	core
MTBC_175	core
MTBC_176	core
MTBC_177	core
MTBC_178	accessory
MTBC_179	core
MTBC_180	core
MTBC_181	core
MTBC_182	core
MTBC_183	accessory
MTBC_184	core
MTBC_185	core
MTBC_186	core
MTBC_187	core
MTBC_188	core
MTBC_189	core
MTBC_190	core
MTBC_191	core
MTBC_192	core
MTBC_193	accessory
MTBC_194	core
MTBC_195	core
MTBC_196	core
MTBC_197	accessory
MTBC_198	core
MTBC_199	core
MTBC_200	core
MTBC_201	core
MTBC_202	core
MTBC_203	accessory
MTBC_204	core
MTBC_205	core
MTBC_206	core
MTBC_207	core
MTBC_208	accessory
MTBC_209	accessory
MTBC_210	core
MTBC_211	accessory
MTBC_212	core
MTBC_213	core
MTBC_214	core
MTBC_215	core
MTBC_216	core
MTBC_217	core
MTBC_218	core
MTBC_219	accessory
MTBC_220	core
MTBC_221	core
MTBC_222	core
MTBC_223	accessory
MTBC_224	accessory
MTBC_225	core
MTBC_226	core
MTBC_227	core
MTBC_228	accessory
MTBC_229	core
MTBC_230	core
MTBC_231	core
MTBC_232	core
MTBC_233	accessory
MTBC_234	core
MTBC_235	core
MTBC_236	core
MTBC_237	core
MTBC_238	core
MTBC_239	core
MTBC_240	core
MTBC_241	core
MTBC_242	core
MTBC_243	core
MTBC_244	core
MTBC_245	core
MTBC_246	core
MTBC_247	core
MTBC_248	core
MTBC_249	core
MTBC_250	core
MTBC_251	accessory
MTBC_252	core
MTBC_253	core
MTBC_254	core
MTBC_255	core
MTBC_256	core
MTBC_257	core
MTBC_258	core
MTBC_259	core
MTBC_260	core
MTBC_261	core
MTBC_262	core
MTBC_263	core
MTBC_264	core
MTBC_265	accessory
MTBC_266	core
MTBC_267	core
MTBC_268	accessory
MTBC_269	core
MTBC_270	core
MTBC_271	core
MTBC_272	core
MTBC_273	core
MTBC_274	core
MTBC_275	core
MTBC_276	core
MTBC_277	core
MTBC_278	core
MTBC_279	core
MTBC_280	core
MTBC_281	core
MTBC_282	accessory
MTBC_283	core
MTBC_284	core
MTBC_285	accessory
MTBC_286	accessory
MTBC_287	accessory
MTBC_288	core
MTBC_289	core
MTBC_290	core
MTBC_291	accessory
MTBC_292	core
MTBC_293	core
MTBC_294	accessory
MTBC_295	core
MTBC_296	core
MTBC_297	core
MTBC_298	core
MTBC_299	core
MTBC_300	core
MTBC_301	accessory
MTBC_302	core
MTBC_303	accessory
MTBC_304	core
MTBC_305	core
MTBC_306	core
MTBC_307	core
MTBC_308	core
MTBC_309	accessory
MTBC_310	core
MTBC_311	core
MTBC_312	core
MTBC_313	core
MTBC_314	core
MTBC_315	accessory
MTBC_316	core
MTBC_317	core
MTBC_318	core
MTBC_319	core
MTBC_320	core
MTBC_321	accessory
