species,hash_id
C. cayetanensis,Nu_360i2_PART_A_Hap_1_30015d028291905786975c27f9466693d0316e3da9fac2c2c26615c8ada560c9
C. ashfordi,Nu_360i2_PART_A_Hap_3_06ffb4a7a6e62d95a0fe86563485cf182b5523a014f29584ec7e4b992c655d2d
